subject,predicate,object,source_chunk_id
Pakistan,is,seventh nation to win ICC Champions Trophy,doc_3302_chunk_0
Pakistan,won,first ICC ODI tournament title since 1992,doc_3302_chunk_0
Fakhar Zaman,received,Man of the Match award,doc_3302_chunk_0
Fakhar Zaman,scored,114 runs,doc_3302_chunk_0
Shikhar Dhawan,received,Golden Bat award,doc_3302_chunk_0
Shikhar Dhawan,scored,338 runs in tournament,doc_3302_chunk_0
Hasan Ali,received,Golden Ball award,doc_3302_chunk_0
Hasan Ali,took,13 wickets,doc_3302_chunk_0
Hasan Ali,received,Man of the Series award,doc_3302_chunk_0
Hasan Ali,contributed to,Pakistan's first ICC tournament title since 2009,doc_3302_chunk_0
Filmfare Awards,honour,Hindi-language film industry of India,doc_3303_chunk_0
Filmfare Awards,introduced by,The Times Group,doc_3303_chunk_0
Filmfare Awards,introduced in,1954,doc_3303_chunk_0
Filmfare Awards,initially referred to as,Clare Awards,doc_3303_chunk_0
Clare Awards,named after,Clare Mendonca,doc_3303_chunk_0
Clare Mendonca,editor of,The Times of India,doc_3303_chunk_0
Filmfare Awards,has voting system,dual voting system,doc_3303_chunk_0
dual voting system,developed in,1956,doc_3303_chunk_0
National Film Awards,decided by,panel,doc_3303_chunk_0
panel,appointed by,Indian Government,doc_3303_chunk_0
Filmfare Awards,voted by,public,doc_3303_chunk_0
Filmfare Awards,voted by,committee of experts,doc_3303_chunk_0
Raghunath Karve,born in,Murud,doc_3304_chunk_0
Raghunath Karve,son of,Dhondo Keshav Karve,doc_3304_chunk_0
Raghunath Karve,mother,Radhabai,doc_3304_chunk_0
Radhabai,died in,1891,doc_3304_chunk_0
Raghunath Karve,studied at,"New English School, Pune",doc_3304_chunk_0
Raghunath Karve,stood first in,matriculation examination 1899,doc_3304_chunk_0
Raghunath Karve,studied at,"Fergusson College, Pune",doc_3304_chunk_0
Raghunath Karve,obtained degree,Bachelor of Arts,doc_3304_chunk_0
Raghunath Karve,graduated year,1904,doc_3304_chunk_0
Raghunath Karve,professor of,mathematics,doc_3304_chunk_0
Raghunath Karve,worked at,"Wilson College, Mumbai",doc_3304_chunk_0
"Wilson College, Mumbai",administrators,conservative Christian administrators,doc_3304_chunk_0
"Wilson College, Mumbai",asked to resign,Raghunath Karve,doc_3304_chunk_0
Raghunath Karve,devoted to,family planning,doc_3304_chunk_0
Raghunath Karve,devoted to,population control,doc_3304_chunk_0
Raghunath Karve,devoted to,women's rights,doc_3304_chunk_0
Dhondo Keshav Karve,awarded,Bharat Ratna,doc_3304_chunk_0
Vishwanath,honored by,Rajendra Prasad,doc_3307_chunk_0
Rajendra Prasad,position held,first President of India,doc_3307_chunk_0
Rajendra Prasad,country,India,doc_3307_chunk_0
honoring event,event,golden jubilee celebrations of Gandharva Mahavidyalaya,doc_3307_chunk_0
golden jubilee celebrations,of,Gandharva Mahavidyalaya,doc_3307_chunk_0
golden jubilee celebrations,location,Delhi,doc_3307_chunk_0
golden jubilee celebrations,date,4 April 1952,doc_3307_chunk_0
honoring event,date,4 April 1952,doc_3307_chunk_0
K. B. Blues,is an album by,Kenny Burrell,doc_4271_chunk_0
K. B. Blues,recorded in,1957,doc_4271_chunk_0
K. B. Blues,originally released on,Japanese Blue Note label,doc_4271_chunk_0
K. B. Blues,originally released in,1979,doc_4271_chunk_0
K. B. Blues,reissued on,CD,doc_4271_chunk_0
K. B. Blues,incorrectly identified as recorded in,1956,doc_4271_chunk_0
